trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-84.36931606937357,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-114.05203908889834,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-101.56662538515789,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-117.63450606883934,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-84.04441824932765,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",35,0,-112.48249687037986,"{0: 27, 1: 3, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,0,-32.49972690598119,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",30,0,-193.86906468606082,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-71.90571721952058,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",30,0,-28.86379439853874,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-77.8889731956012,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-68.19535718366515,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",30,0,-97.014599815801,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-134.3439164311743,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-195.9728757991848,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-91.91562128863575,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-69.30419888693287,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-120.1967420415357,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",30,0,-156.53832028664206,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-59.27502689945462,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",25,0,-132.8419246396507,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",30,0,-48.84501733528337,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.794533602503334}",35,0,-96.32328121879975,"{0: 23, 1: 3, 2: 7, 3: 2, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-60.79690696134164,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,-37.96631464520219,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",30,0,-103.08712587760958,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",20,8,-87.65553949555319,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-83.12057449212168,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,0,-50.405352664878166,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,0,-133.42970630606294,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",35,11,-103.57089678613937,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 2}",1
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",30,13,-32.99265179729112,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,16,7.842623495887113,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.7117703227626097}",35,11,-104.76887730472853,"{0: 17, 1: 1, 2: 2, 3: 3, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,0,-102.91574624769842,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.697676326071031}",20,12,-5.884695905171924,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",20,6,-47.6764944268602,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,0,-26.630875003100616,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",30,0,-24.41258320550351,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,0,-115.91014172258298,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,0,-37.10458224685975,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,11,-31.763311302778543,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
