trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.47369760845196,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-111.39691005482284,"{0: 20, 1: 0, 2: 9, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-219.63771358565114,"{0: 13, 1: 3, 2: 10, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-18.37401449777991,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,21,-47.900678430342154,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.05881978332036,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.8301422820711,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.12085063382366,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.82795657669206,"{0: 19, 1: 2, 2: 4, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.24686933240321,"{0: 12, 1: 6, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-149.0612866891834,"{0: 16, 1: 5, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.3441813263306,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.92177095663818,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.2497512631424,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,9,-21.048843461638516,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.05109261072485,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.11030056679758,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.7145642944032,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.01576155886622,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,13,-33.335977083387995,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-258.8586223341132,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.30454541443666,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.35723896941865,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-126.32536716584215,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-102.2421008466962,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-218.37191153462228,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 5}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-167.1869377702323,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-60.59560326528143,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.30141415445615,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,2,-130.8721032962308,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 2}",1
